AHE_ID,Institution,ID,Order,Family,Genus,Species
I8229,ESP/CJR,R928,Anura,Mantellidae,Boophis,albipunctatus
I4407,MVZ,238732,Anura,Mantellidae,Boophis,pyrrhus
I8233,ESP/CJR,R942,Anura,Mantellidae,Gephyromantis,ambohitra
I8244,ESP/CJR,R971,Anura,Mantellidae,Guibemantis,pulcher
I7730,ESP/CJR,R930,Anura,Mantellidae,Mantella,betsileo
I7734,ESP/CJR,R969,Anura,Mantellidae,Mantidactylus,lugubris
I4408,MVZ,226277,Anura,Megophryidae,Brachytarsophrys,feae
I6429,AMCC,106397,Anura,Megophryidae,Leptobrachium,chapaense
I6425,AMCC,106489,Anura,Megophryidae,Leptobrachella,bourreti
I6416,AMCC,144796,Anura,Megophryidae,Ophryophryne,hansi
I6473,CAS,234295,Anura,Megophryidae,Scutiger,gongshanensis
I4409,CAS,240922,Anura,Megophryidae,Xenophrys,glandulosa
I10391,ROM,44169,Anura,Microhylidae,Adelastes,hylonomos
I13336,PLVP,PT359,Anura,Microhylidae,Anodonthyla,nigrigularis
I13337,PLVP,PT281,Anura,Microhylidae,Arcovomer,passarellii
I13338,PLVP,PT439,Anura,Microhylidae,Barygenys,nana
I13340,PLVP,PT440,Anura,Microhylidae,Callulops,personatus
I10392,FMNH,231112,Anura,Microhylidae,Chaperina,fusca
I13361,PLVP,PT198,Anura,Microhylidae,Chiasmocleis,carvalhoi
I13334,PLVP,PT425,Anura,Microhylidae,Choerophryne,exclamitans
I13341,PLVP,PT441,Anura,Microhylidae,Choerophryne,proboscidea
I13342,PLVP,PT448,Anura,Microhylidae,Cophixalus,balbus
I6436,AMCC,103335,Anura,Microhylidae,Cophyla,occultans
I13343,PLVP,PT428,Anura,Microhylidae,Copiula,oxyrhina
I8562,LSUMNS,17434,Anura,Microhylidae,Ctenophryne,geayi
I13344,PLVP,PT332,Anura,Microhylidae,Dasypops,schirchi
I4435,AMCC,125588,Anura,Microhylidae,Dermatonotus,muelleri
I6463,MVZ,238744,Anura,Microhylidae,Dyscophus,guineti
I13345,PLVP,PT059,Anura,Microhylidae,Elachistocleis,helianneae
I13523,REF,GasCar,Anura,Microhylidae,Gastrophryne,carolinensis
I13346,PLVP,PT452,Anura,Microhylidae,Genyophryne,thomsoni
I4419,CAS,236077,Anura,Microhylidae,Glyphoglossus,guttulatus
I6451,CAS,234799,Anura,Microhylidae,Glyphoglossus,molossus
I13339,PLVP,PT164,Anura,Microhylidae,Glyphoglossus,yunnanensis
I13335,PLVP,PT321,Anura,Microhylidae,Hamptophryne,alios
I13347,PLVP,PT043,Anura,Microhylidae,Hamptophryne,boliviana
I13348,PLVP,PT424,Anura,Microhylidae,Hylophorbus,rainerguentheri
I13350,PLVP,PT168,Anura,Microhylidae,Kalophrynus,interlineatus
I8566,CAS,247917,Anura,Microhylidae,Kalophrynus,pleurostigma
I4440,YPM,13065,Anura,Microhylidae,Kaloula,pulchra
I13351,PLVP,PT507,Anura,Microhylidae,Metamagnusia,slateri
I13352,PLVP,PT236,Anura,Microhylidae,Metaphrynella,sundana
I6454,CAS,233947,Anura,Microhylidae,Microhyla,ornata
I6455,CAS,247906,Anura,Microhylidae,Micryletta,inornata
I13353,PLVP,PT340,Anura,Microhylidae,Myersiella,microps
I10393,ABTC,50092,Anura,Microhylidae,Oreophryne,brachypus
I13354,PLVP,PT459,Anura,Microhylidae,Otophryne,robusta
I13355,PLVP,PT455,Anura,Microhylidae,Oxydactyla,alpestris
I7739,ESP/CJR,R1330,Anura,Microhylidae,Phrynomantis,annectens
I13356,PLVP,PT287,Anura,Microhylidae,Phrynomantis,bifasciatus
I6435,AMCC,128714,Anura,Microhylidae,Plethodontohyla,notosticta
I13357,PLVP,PT312,Anura,Microhylidae,Scaphiophryne,brevis
I13349,PLVP,PT284,Anura,Microhylidae,Stereocyclops,histrio
I13358,PLVP,PT273,Anura,Microhylidae,Stereocyclops,incrassatus
I6430,AMCC,103414,Anura,Microhylidae,Stumpffia,grandis
I13359,PLVP,PT265,Anura,Microhylidae,Stumpffia,roseifemoralis
I13360,PLVP,PT271,Anura,Microhylidae,Synapturanus,salseri
I7740,ESP/CJR,R1208,Anura,Microhylidae,Uperodon,variegatus
I13362,PLVP,PT454,Anura,Microhylidae,Xenorhina,fuscigula
I8561,MV,18153,Anura,Myobatrachidae,Crinia,signifera
I8564,MV,21476,Anura,Myobatrachidae,Geocrinia,victoriana
I6486,SAMAR,66870,Anura,Myobatrachidae,Limnodynastes,dumerilii
I13524,REF,MixSch,Anura,Myobatrachidae,Mixophyes,schevilli
I8570,MV,21528,Anura,Myobatrachidae,Neobatrachus,sudelli
I9034,70661,70661,Anura,Myobatrachidae,Notaden,nichollsi
I8571,MV,21479,Anura,Myobatrachidae,Paracrinia,haswelli
I10935,NCBS,AI442,Anura,Nasikabatrachidae,Nasikabatrachus,sahyadrensis
I10934,NCBS,AG004,Anura,Nyctibatrachidae,Nyctibatrachus,petraeus
I4415,CAS,230053,Anura,Odontobatrachidae,Odontobatrachus,natator
I4412,MVZ,145208,Anura,Odontophrynidae,Odontophrynus,occidentalis
I4413,MVZ,234650,Anura,Pelobatidae,Pelobates,syriacus
I4414,MVZ,186009,Anura,Pelodytidae,Pelodytes,ibericus
I6428,AMCC,106956,Anura,Petropedetidae,Arthroleptides,martiensseni
I6439,MCZ,A139541,Anura,Petropedetidae,Petropedetes,parkeri
I6461,MVZ,226261,Anura,Phrynobatrachidae,Phrynobatrachus,keniensis
I4416,CAS,218893,Anura,Phrynobatrachidae,Phrynobatrachus,leveleve
I6443,MCZ,A136791,Anura,Phrynobatrachidae,Phrynobatrachus,sandersoni
I6453,PMH,2014,Anura,Pipidae,Hymenochirus,boettgeri
I6444,MVZ,247511,Anura,Pipidae,Pipa,pipa
Xenopus,TAXID,8364,Anura,Pipidae,Xenopus,tropicalis
I7783,ESP/CJR,R1068,Anura,Ptychadenidae,Ptychadena,mascareniensis
I4418,CAS,219251,Anura,Ptychadenidae,Ptychadena,newtoni
I6438,AMCC,105559,Anura,Pyxicephalidae,Arthroleptella,bicolor
I7794,ESP/CJR,R527,Anura,Pyxicephalidae,Aubria,subsigillata
I8191,ESP/CJR,R371,Anura,Pyxicephalidae,Cacosternum,boettgeri
I8199,ESP/CJR,R363,Anura,Pyxicephalidae,Cacosternum,platys
I8205,ESP/CJR,R569,Anura,Pyxicephalidae,Natalobatrachus,bonebergi
I7801,ESP/CJR,R725,Anura,Pyxicephalidae,Pyxicephalus,adspersus
I6433,AMCC,105565,Anura,Pyxicephalidae,Strongylopus,bonaespei
I7822,ESP/CJR,R831,Anura,Pyxicephalidae,Strongylopus,fasciatus
I7827,ESP/CJR,R410,Anura,Pyxicephalidae,Tomopterna,cryptotis
I6446,CAS,242607,Anura,Ranidae,Amolops,medogensis
I7882,ESP/CJR,R1162,Anura,Ranidae,Meristogenys,orphnocnemis
I7849,ESP/CJR,R185,Anura,Ranidae,Nidirana,chapaensis
I6466,MVZ,258265,Anura,Ranidae,Odorrana,banaorum
I6420,AMCC,138323,Anura,Ranidae,Odorrana,nasica
I8575,LSUMNS,10459,Anura,Ranidae,Papurana,papua
I7897,ESP/CJR,R153,Anura,Ranidae,Pelophylax,ridibundus
I6460,CAS,234711,Anura,Ranidae,Pterorana,khare
I6480,YPM,13741,Anura,Ranidae,Pulchrana,picturata
I8574,LSUMNS,17589,Anura,Ranidae,Rana,palmipes
I7875,ESP/CJR,R1141,Anura,Ranidae,Rana,pipiens
I13526,REF,LitSph,Anura,Ranidae,Rana,sphenocephala
I7908,ESP/CJR,R1168,Anura,Ranidae,Sanguirana,sanguinea
I7910,ESP/CJR,R1164,Anura,Ranidae,Staurois,natator
I7868,ESP/CJR,R1144,Anura,Ranidae,Sylvirana,nigrovittata
I6440,MVZ,241442,Anura,Rhacophoridae,Buergeria,oxycephala
I7925,ESP/CJR,R538,Anura,Rhacophoridae,Chiromantis,xerampelina
I7927,ESP/CJR,R233,Anura,Rhacophoridae,Feihyla,palpebralis
I7935,ESP/CJR,R1112,Anura,Rhacophoridae,Kurixalus,appendiculatus
I7946,ESP/CJR,R075,Anura,Rhacophoridae,Nyctixalus,pictum
I7929,ESP/CJR,R1149,Anura,Rhacophoridae,Philautus,hosii
I6459,CAS,241141,Anura,Rhacophoridae,Polypedates,leucomystax
I7961,ESP/CJR,R1120,Anura,Rhacophoridae,Raorchestes,gryllus
I6456,CAS,233160,Anura,Rhacophoridae,Raorchestes,parvulus
I7967,ESP/CJR,R241,Anura,Rhacophoridae,Rhacophorus,pardalis
I4421,CAS,224676,Anura,Rhacophoridae,Rhacophorus,rhodopus
I6470,MVZ,225131,Anura,Rhacophoridae,Theloderma,corticale
I4422,MVZ,164829,Anura,Rhinodermatidae,Rhinoderma,darwinii
I4423,MVZ,164756,Anura,Rhinophrynidae,Rhinophrynus,dorsalis
I4424,CAS,229217,Anura,Scaphiopodidae,Scaphiopus,couchii
I6469,MVZ,145187,Anura,Scaphiopodidae,Spea,hammondii
I9326,JL,CR04,Anura,Sooglossidae,Sooglossus,sechellensis
I4445,AMCC,107352,Anura,Strabomantidae,Phrynopus,guillei
I4426,USNM,268942,Anura,Strabomantidae,Pristimantis,ridens
I4427,KU,290640,Anura,Telamatobiidae,Telmatobius,niger
I4349,DWW,1781,Caudata,Ambystomatidae,Ambystoma,mexicanum
I3541,SON,RB01_OP4,Caudata,Ambystomatidae,Ambystoma,opacum
I3538,SON,RB09_T23,Caudata,Ambystomatidae,Ambystoma,talpoideum
I3544,JDK,JK02,Caudata,Ambystomatidae,Ambystoma,tigrinum
I4351,MVZ,232868,Caudata,Amphiumidae,Amphiuma,tridactylum
I3702,PMH,AD03,Caudata,Cryptobranchidae,Andrias,davidianus
I3703,PMH,AJ12,Caudata,Cryptobranchidae,Andrias,japonicus
I3704,PMH,C37AF,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis
I3707,PMH,ELK13,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis
I4356,DWW,2567,Caudata,Dicamptodontidae,Dicamptodon,copei
I3700,DWW,379,Caudata,Hynobiidae,Paradactylodon,persicus
I3542,YPM,9865,Caudata,Hynobiidae,Hynobius,nigrescens
I3539,YPM,10577,Caudata,Hynobiidae,Pachyhynobius,shangchengensis
I3701,DWW,392,Caudata,Hynobiidae,Salamandrella,keyserlingii
I3710,RLM,172,Caudata,Plethodontidae,Aneides,flavipunctatus
I11148,MVZ,266911,Caudata,Plethodontidae,Batrachoseps,nigriventris
I4358,AMCC,118113,Caudata,Plethodontidae,Bolitoglossa,riletti
I3715,JDK,JK03,Caudata,Plethodontidae,Desmognathus,fuscus
I3716,JDK,JK08,Caudata,Plethodontidae,Desmognathus,quadramaculatus
I3711,JDK,JK07,Caudata,Plethodontidae,Desmognathus,wrighti
I9327,JRJ,2012,Caudata,Plethodontidae,Eurycea,lucifuga
I9336,PMH,GP02,Caudata,Plethodontidae,Gyrinophilus,porphyriticus
I12499,TWP,HS3,Caudata,Plethodontidae,Hemidactylium,scutatum
I12498,MVZ,247157,Caudata,Plethodontidae,Karsenia,koreana
I12496,MVZ,263972,Caudata,Plethodontidae,Nyctanolis,pernix
I4359,JJA,P82,Caudata,Plethodontidae,Phaeognathus,hubrichti
I3717,JDK,JK09,Caudata,Plethodontidae,Plethodon,jordani
I12497,PMH,PR02,Caudata,Plethodontidae,Pseudotriton,ruber
I3535,PMH,7759,Caudata,Proteidae,Necturus,maculosus
I4362,MVZ,244076,Caudata,Proteidae,Proteus,anguinus
I3536,LSUMNS,H11333,Caudata,Rhyacotritonidae,Rhyacotriton,olympicus
I9330,TP,TP24749,Caudata,Salamandridae,Cynops,ensicauda
I9337,TP,TP26195,Caudata,Salamandridae,Echinotriton,chinhaiensis
I9338,TP,TP27066,Caudata,Salamandridae,Neurergus,crocatus
I3534,LSUMNS,H11856,Caudata,Salamandridae,Notophthalmus,viridescens
I9339,TP,TP24839,Caudata,Salamandridae,Paramesotriton,hongkongensis
I9331,TP,TP25088,Caudata,Salamandridae,Salamandra,salamandra
I9332,DWW,s7539,Caudata,Salamandridae,Salamandrina,terdigitata
I9340,TP,TP26609,Caudata,Salamandridae,Lissotriton,vulgaris
I9333,TP,TP25555,Caudata,Salamandridae,Tylototriton,kweichowensis
I13533,REF,SirInt,Caudata,Sirenidae,Siren,intermedia
I4337,BPN,1499,Gymnophiona,Caeciliidae,Caecilia,tentaculata
I6479,SLZ,971026,Gymnophiona,Dermophiidae,Dermophis,mexicanus
I4436,YPM,13118,Gymnophiona,Dermophiidae,Geotrypetes,seraphini
I4338,MVZ,228795,Gymnophiona,Dermophiidae,Gymnopis,multiplicata
I4339,CAS,218738,Gymnophiona,Dermophiidae,Schistometopum,thomense
I4340,MVZ,179505,Gymnophiona,Herpelidae,Boulengerula,taitana
I4437,YPM,13116,Gymnophiona,Herpelidae,Herpele,squalostoma
I13518,CAS,212262,Gymnophiona,Ichthyophiidae,Ichthyophis,multicolor
I4342,MVZ,258024,Gymnophiona,Indotyphlidae,Grandisonia,alternans
N/A,N/A,N/A,Gymnophiona,Rhinatrematidae,Rhinatrema,bivittatum
I4345,AMCC,117706,Gymnophiona,Scolecomorphidae,Crotaphatrema,tchabalmbaboensis
I8577,CAS,168812,Gymnophiona,Scolecomorphidae,Scolecomorphus,vittatus
I4346,BPN,Ga169,Gymnophiona,Siphonopidae,Microcaecilia,sp.
I4347,MVZ,162592,Gymnophiona,Siphonopidae,Siphonops,annulatus
I4348,MVZ,179733,Gymnophiona,Typhlonectidae,Typhlonectes,natans
N/A,Genbank,TAXID_9606,Primates,Hominidae,Homo,sapiens
N/A,Genbank,TAXID_28377,Squamata,Dactyloidae,Anolis,carolinensis
N/A,Genbank,TAXID_8478,Testudines,Emydidae,Chrysemys,picta
N/A,Genbank,TAXID_7897,Coelacanthiformes,Latimeriidae,Latimeria,chalumnae
N/A,Genbank,TAXID_9031,Galliformes,Phasianidae,Gallus,gallus
